tanggal,kasus_baru,jumlah_kasus,dalam_perawatan,sembuh_baru,sembuh_kum,meninggal_baru,meninggal_kum,pdp,odp,jumlah_diperiksa,negatif,positif,dalam_proses
02-Mar,2,2,2,0,0,0,0,,,339,335,2,2
03-Mar,0,2,2,0,0,0,0,,,341,337,2,2
04-Mar,0,2,2,0,0,0,0,,,372,356,2,14
05-Mar,0,2,2,0,0,0,0,,,388,371,2,15
06-Mar,2,4,4,0,0,0,0,,,450,422,4,24
07-Mar,0,4,4,0,0,0,0,,,454,422,4,28
08-Mar,2,6,6,0,0,0,0,,,483,445,6,32
09-Mar,13,19,19,0,0,0,0,,,543,487,19,37
10-Mar,8,27,27,0,0,0,0,,,694,648,27,19
11-Mar,7,34,30,2,2,2,2,,,793,744,34,15
12-Mar,0,34,27,1,3,2,4,,,862,811,34,17
13-Mar,35,69,60,2,5,0,4,,,1005,917,69,19
14-Mar,27,96,83,3,8,1,5,,,1205,1109,96,0
15-Mar,21,117,104,0,8,0,5,,,1293,1167,117,9
16-Mar,17,134,121,0,8,0,5,,,1230,1083,134,13
17-Mar,38,172,156,1,9,2,7,,,1372,1178,172,22
18-Mar,55,227,197,2,11,12,19,,,1592,1342,227,23
19-Mar,82,309,269,4,15,6,25,,,1898,1570,309,19
20-Mar,60,369,321,1,16,7,32,,,2028,1643,369,18
21-Mar,81,450,392,4,20,6,38,,,2365,1895,450,20
22-Mar,64,514,437,9,29,10,48,,,2438,1904,514,20
23-Mar,65,579,500,1,30,1,49,,,2756,2177,579,0
24-Mar,106,685,600,0,30,6,55,,,3332,2625,685,22
25-Mar,105,790,701,1,31,3,58,,,3822,3032,790,0
26-Mar,103,893,780,4,35,20,78,,,4336,3443,893,0
27-Mar,153,1046,913,11,46,9,87,,,5775,4729,1046,0
28-Mar,109,1155,994,13,59,15,102,,,6266,5111,1155,0
29-Mar,130,1285,1107,5,64,12,114,,,6534,5249,1285,0
30-Mar,129,1414,1217,11,75,8,122,,,6663,5249,1414,0
31-Mar,114,1528,1311,6,81,14,136,,,6777,5249,1528,0
01-Apr,149,1677,1417,22,103,21,157,,,7193,5516,1677,0
02-Apr,113,1790,1508,9,112,13,170,,,7425,5635,1790,0
03-Apr,196,1986,1671,22,134,11,181,,,7986,5715,1986,285
04-Apr,106,2092,1751,16,150,10,191,,,9712,7620,2092,0
05-Apr,181,2273,1911,14,164,7,198,,,11242,8969,2273,0
06-Apr,218,2491,2090,28,192,11,209,,,13186,10695,2491,0
07-Apr,247,2738,2313,12,204,12,221,,,14353,11615,2738,0
08-Apr,218,2956,2494,18,222,19,240,,,16511,13555,2956,0
09-Apr,337,3293,2761,30,252,40,280,,,17679,14386,3293,0
10-Apr,219,3512,2924,30,282,26,306,,,19452,15940,3512,0
11-Apr,330,3842,3229,4,286,21,327,,,19964,16122,3842,0
12-Apr,399,4241,3509,73,359,46,373,,,27075,22834,4241,0
13-Apr,316,4557,3778,21,380,26,399,,,27953,23396,4557,0
14-Apr,282,4839,3954,46,426,60,459,10482,139137,31628,26789,4839,0
15-Apr,297,5136,4221,20,446,10,469,11165,165549,33001,27865,5136,0
16-Apr,380,5516,4472,102,548,27,496,11873,169446,34975,29459,5516,0
17-Apr,407,5923,4796,59,607,24,520,12610,173732,37134,31211,5923,0
18-Apr,325,6248,5082,24,631,15,535,12979,176344,39422,33174,6248,0
19-Apr,327,6575,5307,55,686,47,582,15646,178883,42219,35644,6575,0
20-Apr,185,6760,5423,61,747,8,590,16343,181770,43749,36989,6760,0
21-Apr,375,7135,5677,95,842,26,616,16763,186330,46173,39038,7135,0
22-Apr,283,7418,5869,71,913,20,636,17754,193571,47361,39943,7418,0
23-Apr,357,7775,6168,47,960,11,647,18283,195948,48647,40872,7775,0
24-Apr,436,8211,6520,42,1002,42,689,18301,197951,50563,42352,8211,0
