tanggal,kasus_baru
21-Feb,17
22-Feb,59
23-Feb,71
24-Feb,77
25-Feb,93
26-Feb,125
27-Feb,205
28-Feb,238
29-Feb,240
01-Mar,566
02-Mar,342
03-Mar,466
04-Mar,587
05-Mar,769
06-Mar,779
07-Mar,1247
08-Mar,1492
09-Mar,1817
10-Mar,977
11-Mar,2313
12-Mar,2651
13-Mar,2547
14-Mar,3497
15-Mar,3590
16-Mar,3233
17-Mar,3526
18-Mar,4207
19-Mar,5331
20-Mar,5986
21-Mar,6557
22-Mar,5560
23-Mar,4789
24-Mar,5249
25-Mar,5210
26-Mar,6203
27-Mar,5909
28-Mar,5974
29-Mar,5217
30-Mar,4050
31-Mar,4053
01-Apr,4782
02-Apr,4668
03-Apr,4585
04-Apr,4805
05-Apr,4316
06-Apr,3599
07-Apr,3039
08-Apr,3836
09-Apr,4204
10-Apr,3951
11-Apr,4694
12-Apr,4092
13-Apr,3153
14-Apr,2972
15-Apr,2667
16-Apr,3786
17-Apr,3493
