date,prov_id,province,district_id,district,diff_odp,diff_pdp,new_cases,new_recovered,new_deaths,cases,recovered,deaths,prev_cases,prev_recovered,prev_deaths,odp,pdp,active_cases,prev_odp,prev_pdp,%_growth_cases,%_growth_recovered,%_growth_deaths
06/03/2020,32,Jawa Barat,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3216,Kabupaten Bekasi,0,0,1,0,0,1,0,0,,,,0,0,1,,,,,
06/03/2020,32,Jawa Barat,3201,Kabupaten Bogor,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3207,Kabupaten Ciamis,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3203,Kabupaten Cianjur,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3214,Kabupaten Purwakarta,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3273,Kota Bandung,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3277,Kota Cimahi,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3274,Kota Cirebon,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3276,Kota Depok,0,0,2,0,0,2,0,0,,,,0,0,2,,,,,
06/03/2020,32,Jawa Barat,3272,Kota Sukabumi,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
06/03/2020,32,Jawa Barat,3278,Kota Tasikmalaya,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
07/03/2020,32,Jawa Barat,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3216,Kabupaten Bekasi,11,1,0,0,0,1,0,0,1,0,0,11,1,1,0,0,0.00%,,
07/03/2020,32,Jawa Barat,3201,Kabupaten Bogor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3207,Kabupaten Ciamis,43,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3203,Kabupaten Cianjur,-2,1,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,,,
07/03/2020,32,Jawa Barat,3209,Kabupaten Cirebon,4,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,,
07/03/2020,32,Jawa Barat,3205,Kabupaten Garut,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3212,Kabupaten Indramayu,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3215,Kabupaten Karawang,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3208,Kabupaten Kuningan,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3210,Kabupaten Majalengka,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3214,Kabupaten Purwakarta,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3213,Kabupaten Subang,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3202,Kabupaten Sukabumi,19,2,0,0,0,0,0,0,0,0,0,19,2,0,0,0,,,
07/03/2020,32,Jawa Barat,3211,Kabupaten Sumedang,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3273,Kota Bandung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
07/03/2020,32,Jawa Barat,3279,Kota Banjar,52,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,,,
